Unnamed: 0,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,brand_name,Mileage_upd,Engine_upd,Power_upd,Year_upd
1194,Mumbai,15000,Diesel,Automatic,First,5.0,,69.5,Mercedes-Benz,13.0,2987.0,265.0,2
1195,Chennai,65000,Diesel,Automatic,First,5.0,54.7 Lakh,14.0,BMW,22.69,1995.0,190.0,7
1196,Pune,32000,Petrol,Manual,Second,5.0,,2.1,Maruti,22.74,796.0,47.3,5
1197,Hyderabad,24393,Diesel,Manual,First,7.0,22.87 Lakh,20.4,Toyota,13.68,2393.0,147.8,2
1198,Hyderabad,1000,Petrol,Manual,First,5.0,6.74 Lakh,5.68,Volkswagen,18.78,999.0,75.0,0
1199,Mumbai,28238,Petrol,Manual,First,5.0,,5.55,Nissan,13.24,1598.0,102.5,5
1200,Mumbai,59000,Diesel,Manual,First,7.0,33.09 Lakh,12.75,Mitsubishi,13.5,2477.0,175.56,6
1201,Mumbai,92000,Petrol,Manual,Second,5.0,,3.35,Honda,14.8,1799.0,130.2,7
1202,Kolkata,56840,Petrol,Manual,First,5.0,,1.55,Maruti,22.74,796.0,47.3,6
1203,Coimbatore,62746,Diesel,Manual,Second,5.0,,5.9,Volkswagen,20.54,1598.0,103.6,6
1204,Hyderabad,96000,Diesel,Automatic,First,5.0,,18.98,Land,12.35,2179.0,187.74,7
1205,Mumbai,24000,Petrol,Manual,First,5.0,,11.51,Honda,13.7,1997.0,153.86,5
1206,Mumbai,54000,Diesel,Manual,First,7.0,,7.75,Maruti,20.77,1248.0,88.76,3
1207,Chennai,90000,Diesel,Manual,First,7.0,,13.9,Toyota,12.99,2494.0,100.6,3
1208,Kolkata,40000,Petrol,Manual,First,5.0,,1.35,Tata,15.0,1368.0,90.0,9
1209,Mumbai,65938,Diesel,Automatic,Second,7.0,,38.0,Audi,12.07,2967.0,241.4,4
1210,Mumbai,16100,Petrol,Automatic,First,5.0,,11.6,Hyundai,17.1,1591.0,121.4,2
1211,Hyderabad,3600,Diesel,Automatic,First,5.0,,12.25,Volkswagen,21.5,1498.0,108.5,2
1212,Jaipur,52000,Petrol,Manual,First,5.0,,3.8,Honda,17.0,1497.0,118.0,8
1213,Mumbai,54000,Diesel,Manual,First,5.0,,3.25,Ford,20.0,1399.0,68.05,5
1214,Mumbai,15399,Petrol,Manual,First,5.0,,6.4,Honda,18.7,1199.0,88.7,3
1215,Bangalore,75000,Petrol,Manual,Second,5.0,,3.95,Volkswagen,16.47,1198.0,73.9,7
1216,Delhi,76752,Petrol,Manual,First,5.0,,3.57,Honda,17.4,1497.0,117.3,9
1217,Mumbai,56000,Petrol,Manual,Second,5.0,,1.25,Honda,17.7,1497.0,78.0,14
1218,Pune,70000,CNG,Manual,First,5.0,,3.65,Maruti,26.2,998.0,58.2,4
1219,Kolkata,46125,Petrol,Automatic,Second,5.0,,12.5,Honda,12.0,2354.0,187.4,6
1220,Ahmedabad,35000,Diesel,Automatic,Second,5.0,,23.0,BMW,18.12,1995.0,190.0,5
1221,Chennai,80000,Diesel,Manual,Third,5.0,,1.35,Ambassador,12.8,1489.0,35.5,16
1222,Coimbatore,62729,Diesel,Manual,First,8.0,,6.32,Mahindra,12.05,2179.0,120.0,7
1223,Kolkata,34000,Diesel,Manual,First,5.0,,3.4,Volkswagen,20.54,1598.0,103.6,7
1224,Jaipur,70000,Petrol,Manual,Second,5.0,,0.77,Maruti,17.3,993.0,60.0,20
1225,Jaipur,32000,Petrol,Manual,First,4.0,,0.9,Maruti,16.1,796.0,37.0,10
1226,Delhi,21000,Petrol,Automatic,First,5.0,23.25 Lakh,18.0,Toyota,14.28,1798.0,138.03,2
1227,Pune,49000,Petrol,Automatic,First,5.0,,19.0,BMW,14.59,1997.0,245.0,6
1228,Chennai,40000,Petrol,Manual,Third,5.0,,1.1,Ford,13.8,1299.0,70.0,12
1229,Pune,78000,Petrol,Manual,Second,5.0,,2.0,Chevrolet,18.6,1199.0,79.4,7
1230,Ahmedabad,52000,Diesel,Manual,First,5.0,19.27 Lakh,6.5,Toyota,21.43,1364.0,86.79,7
1231,Bangalore,65213,Diesel,Manual,First,7.0,,9.45,Mahindra,16.0,2179.0,140.0,5
1232,Mumbai,170000,Diesel,Manual,First,5.0,,4.0,Hyundai,24.4,1120.0,71.0,3
1233,Kochi,36884,Diesel,Automatic,First,5.0,,32.25,Mercedes-Benz,13.0,2143.0,204.0,2
1234,Pune,62500,Petrol,Manual,First,5.0,,2.1,Hyundai,20.36,1197.0,78.9,10
1235,Mumbai,68000,Petrol,Automatic,Second,5.0,,9.75,Toyota,14.28,1798.0,138.03,4
1236,Kolkata,40748,Petrol,Manual,First,5.0,,6.3,Toyota,14.53,1798.0,138.0,5
1237,Hyderabad,60000,Diesel,Automatic,First,5.0,,21.0,Audi,17.32,1968.0,184.0,6
1238,Mumbai,12400,Diesel,Manual,First,5.0,,4.65,Hyundai,21.9,1396.0,88.8,5
1239,Mumbai,87000,Diesel,Automatic,Second,5.0,,17.0,Mercedes-Benz,19.27,2143.0,167.62,6
1240,Pune,20248,Diesel,Manual,First,5.0,,4.35,Maruti,21.1,1248.0,73.9,6
1241,Coimbatore,52383,Diesel,Manual,First,5.0,,14.82,Hyundai,19.67,1582.0,126.2,2
1242,Delhi,1000,Diesel,Automatic,First,5.0,52.77 Lakh,40.0,Jaguar,13.6,1999.0,177.0,1
1243,Chennai,85000,Diesel,Manual,First,7.0,11.67 Lakh,6.15,Mahindra,14.95,2489.0,93.7,3
1244,Ahmedabad,47000,Diesel,Manual,First,7.0,,11.25,Toyota,12.99,2494.0,100.6,5
1245,Pune,17585,Petrol,Automatic,First,5.0,,32.0,Toyota,19.16,2494.0,157.7,1
1246,Coimbatore,32496,Diesel,Automatic,First,5.0,,45.62,Audi,13.22,2967.0,241.4,1
1247,Kochi,34613,Diesel,Manual,First,5.0,7.92 Lakh,6.24,Maruti,28.4,1248.0,74.0,2
1248,Chennai,153000,Diesel,Manual,First,7.0,,4.8,Maruti,20.77,1248.0,88.76,4
1249,Chennai,54000,Petrol,Manual,Second,5.0,,4.5,Maruti,16.1,1197.0,85.0,5
1250,Kochi,16900,Petrol,Manual,First,5.0,,3.87,Hyundai,20.36,1197.0,78.9,4
1251,Delhi,62334,Petrol,Manual,First,5.0,,2.75,Hyundai,20.36,1197.0,78.9,6
1252,Kochi,23714,Petrol,Manual,First,5.0,,6.57,Maruti,21.4,1197.0,83.1,1
1253,Jaipur,52325,Petrol,Manual,First,5.0,,2.0,Hyundai,16.36,1495.0,93.7,9
1254,Ahmedabad,50000,Petrol,Manual,First,5.0,,3.65,Honda,19.4,1198.0,86.8,7
1255,Hyderabad,55746,Diesel,Manual,First,5.0,,6.95,Maruti,22.9,1248.0,74.0,3
1256,Bangalore,54000,Petrol,Manual,First,5.0,7.85 Lakh,5.5,Hyundai,20.14,1197.0,81.86,5
1257,Kolkata,43000,Diesel,Manual,First,7.0,,7.0,Mahindra,16.0,2179.0,140.0,6
1258,Delhi,40000,Diesel,Automatic,First,5.0,,24.0,Mercedes-Benz,13.0,2143.0,201.1,5
1259,Bangalore,125000,Diesel,Automatic,Second,5.0,,11.0,Land,12.7,2179.0,115.0,9
1260,Bangalore,51944,Diesel,Automatic,First,5.0,,32.5,Mercedes-Benz,19.27,2143.0,170.0,3
1261,Kochi,46950,Diesel,Manual,First,5.0,,6.45,Hyundai,21.27,1396.0,88.76,4
1262,Mumbai,23000,Diesel,Automatic,First,5.0,,15.75,Skoda,19.3,1968.0,141.0,4
1263,Mumbai,54546,Petrol,Manual,First,5.0,,5.5,Honda,17.0,1497.0,118.0,5
1264,Kochi,51535,Diesel,Automatic,First,7.0,,19.03,Toyota,12.55,2982.0,168.5,4
1265,Kolkata,45000,Diesel,Automatic,First,5.0,,15.25,Audi,17.32,1968.0,184.0,6
1266,Hyderabad,46004,Petrol,Manual,First,5.0,,2.4,Maruti,20.92,998.0,67.1,7
1267,Chennai,124000,Diesel,Manual,First,5.0,,2.3,Tata,23.03,1396.0,69.0,8
1268,Kochi,77395,Diesel,Automatic,First,5.0,,14.35,Audi,17.11,1968.0,174.33,5
1269,Mumbai,10600,CNG,Manual,First,4.0,,3.5,Maruti,33.44,796.0,40.3,1
1270,Kochi,22974,Petrol,Automatic,First,5.0,15.55 Lakh,11.97,Honda,18.0,1497.0,117.3,1
1271,Jaipur,89000,Petrol,Manual,Second,5.0,,1.6,Hyundai,18.9,999.0,78.9,10
1272,Ahmedabad,65012,Diesel,Manual,First,7.0,32.45 Lakh,18.9,Toyota,14.24,2755.0,174.5,4
1273,Ahmedabad,17125,Petrol,Manual,First,5.0,,5.4,Hyundai,18.9,1197.0,82.0,2
1274,Hyderabad,90413,Petrol,Manual,First,7.0,4.83 Lakh,2.95,Maruti,15.1,1196.0,73.0,4
1275,Bangalore,37000,Petrol,Manual,First,5.0,,5.1,Volkswagen,16.47,1198.0,73.9,6
1276,Jaipur,65000,Petrol,Manual,First,5.0,,1.5,Maruti,18.9,1061.0,67.0,13
1277,Bangalore,66000,Petrol,Manual,First,5.0,,4.9,Honda,17.0,1497.0,118.0,8
1278,Mumbai,86000,Petrol,Manual,First,5.0,,2.9,Honda,14.8,1799.0,130.2,9
1279,Pune,98437,Petrol,Manual,First,5.0,,1.15,Honda,13.0,1493.0,100.0,14
1280,Kolkata,18000,Petrol,Manual,First,5.0,,2.3,Hyundai,18.5,1197.0,80.0,9
1281,Kochi,35070,Diesel,Manual,First,5.0,,5.99,Hyundai,24.0,1120.0,70.0,1
1282,Pune,42000,Petrol,Automatic,Third,5.0,,3.4,Volkswagen,14.4,1598.0,103.6,8
1283,Kolkata,40000,Petrol,Manual,First,5.0,,1.7,Hyundai,20.36,1197.0,78.9,10
1284,Kolkata,43000,Petrol,Manual,First,5.0,,1.99,Hyundai,17.0,1197.0,80.0,10
1285,Pune,65000,Petrol,Manual,First,5.0,,2.5,Chevrolet,18.6,1199.0,79.4,7
1286,Hyderabad,74000,Diesel,Manual,First,5.0,,4.85,Volkswagen,22.07,1199.0,73.9,6
1287,Hyderabad,51192,Petrol,Manual,First,5.0,,2.65,Ford,15.6,1196.0,70.0,9
1288,Kochi,14262,Petrol,Automatic,First,2.0,,27.35,Audi,9.9,1984.0,207.8,5
1289,Jaipur,66339,Diesel,Manual,Second,5.0,,6.9,Honda,25.1,1498.0,98.6,4
1290,Hyderabad,90200,Diesel,Manual,First,5.0,,3.5,Ford,20.0,1399.0,68.05,6
1291,Delhi,57854,Diesel,Manual,First,7.0,,12.5,Toyota,12.99,2494.0,100.6,4
1292,Delhi,32000,Petrol,Automatic,First,5.0,,9.2,Maruti,19.12,1373.0,91.1,2
1293,Mumbai,29631,Petrol,Automatic,First,5.0,,4.9,Hyundai,18.9,1197.0,82.0,4
1294,Delhi,55005,Petrol,Manual,First,5.0,,3.2,Honda,12.8,1497.0,98.6,10
1295,Kochi,54173,Petrol,Manual,First,5.0,,5.55,Ford,18.88,999.0,123.24,5
1296,Ahmedabad,50000,Petrol,Automatic,First,5.0,,13.5,Skoda,14.7,1798.0,177.6,5
1297,Kolkata,145000,Diesel,Manual,First,5.0,,2.6,Fiat,20.4,1248.0,91.7,9
1298,Jaipur,78000,Petrol,Manual,First,5.0,,4.5,Maruti,16.1,1298.0,88.2,4
1299,Delhi,65000,Diesel,Automatic,Second,7.0,,34.0,Land,11.8,2993.0,180.0,6
1300,Hyderabad,120000,Diesel,Manual,First,7.0,,12.0,Toyota,12.8,2494.0,102.0,7
1301,Mumbai,14000,Diesel,Manual,First,5.0,7.13 Lakh,5.25,Maruti,28.4,1248.0,74.0,4
1302,Kochi,57456,Diesel,Automatic,First,5.0,,21.56,Audi,17.68,1968.0,174.33,5
1303,Coimbatore,44450,Diesel,Automatic,First,5.0,71.82 Lakh,24.68,BMW,22.48,1995.0,190.0,7
1304,Delhi,63777,Petrol,Manual,First,5.0,,3.67,Hyundai,18.5,1197.0,82.9,6
1305,Mumbai,31000,Diesel,Automatic,First,5.0,50.97 Lakh,29.5,BMW,17.05,1995.0,190.0,3
1306,Delhi,60000,Petrol,Manual,First,5.0,,3.1,Toyota,17.6,1496.0,88.73,7
1307,Ahmedabad,78008,Diesel,Manual,First,5.0,,2.9,Tata,17.0,1405.0,70.0,4
1308,Bangalore,33000,Diesel,Automatic,Second,5.0,,43.0,Mercedes-Benz,17.9,2987.0,165.0,5
1309,Mumbai,27078,Petrol,Automatic,First,4.0,,15.95,Volkswagen,10.98,1984.0,114.4,10
1310,Hyderabad,57275,Diesel,Manual,First,5.0,,4.5,Volkswagen,19.7,1598.0,103.6,8
1311,Delhi,45000,Diesel,Manual,First,5.0,,3.49,Hyundai,24.0,1120.0,70.0,5
1312,Delhi,57319,Diesel,Manual,First,5.0,,4.25,Maruti,25.2,1248.0,74.0,5
1313,Chennai,121097,Diesel,Manual,Second,5.0,10.73 Lakh,1.9,Hyundai,24.0,1396.0,88.76,11
1314,Mumbai,89000,Diesel,Automatic,First,5.0,,16.57,BMW,16.73,1995.0,218.0,8
1315,Bangalore,72000,Petrol,Manual,First,5.0,,5.75,Honda,17.0,1497.0,118.0,7
1316,Delhi,36000,Diesel,Automatic,Second,5.0,,14.0,Audi,16.55,1968.0,147.51,6
1317,Jaipur,86000,Diesel,Manual,Second,5.0,9.5 Lakh,2.5,Fiat,19.5,1248.0,75.0,6
1318,Ahmedabad,85000,Petrol,Manual,First,5.0,,1.2,Honda,13.0,1343.0,90.0,17
1319,Pune,120000,Petrol,Manual,Second,5.0,,0.85,Fiat,15.5,1242.0,91.72,14
1320,Kochi,37613,Diesel,Automatic,First,5.0,52.46 Lakh,13.95,BMW,22.69,1995.0,190.0,6
1321,Chennai,100000,Petrol,Manual,First,5.0,,1.6,Ford,16.6,1388.0,68.0,12
1322,Coimbatore,5240,Petrol,Automatic,First,4.0,,3.6,Tata,21.9,624.0,37.48,3
1323,Mumbai,20000,CNG,Manual,First,5.0,,4.5,Maruti,15.1,1196.0,73.0,1
1324,Coimbatore,16862,Petrol,Manual,First,5.0,6.07 Lakh,6.06,Maruti,20.89,1197.0,81.8,0
1325,Coimbatore,59254,Petrol,Manual,Second,5.0,,5.29,Maruti,17.5,1298.0,85.8,6
1326,Jaipur,60000,Diesel,Manual,First,5.0,,5.75,Ford,22.7,1498.0,89.84,5
1327,Hyderabad,50295,Petrol,Manual,First,5.0,,5.8,Maruti,16.1,1248.0,74.0,4
1328,Coimbatore,47674,Petrol,Manual,First,5.0,,5.72,Maruti,19.1,1197.0,85.8,5
1329,Kochi,61517,Petrol,Automatic,First,5.0,,4.39,Hyundai,16.95,1197.0,78.9,5
1330,Coimbatore,62946,Diesel,Manual,First,7.0,,11.05,Mahindra,15.1,2179.0,140.0,3
1331,Delhi,66823,Diesel,Manual,Second,5.0,,4.83,Hyundai,22.54,1396.0,88.73,4
1332,Pune,79494,CNG,Manual,First,5.0,5.54 Lakh,2.96,Maruti,33.54,998.0,67.04,6
1333,Chennai,107000,Diesel,Manual,Second,5.0,,4.5,Hyundai,21.27,1396.0,88.76,7
1334,Mumbai,55000,Diesel,Automatic,Second,5.0,,19.5,BMW,16.46,2993.0,258.0,8
1335,Mumbai,24000,Petrol,Automatic,First,5.0,,8.75,Skoda,14.3,1598.0,103.52,2
1336,Mumbai,20002,Diesel,Automatic,First,7.0,1.04 Cr,67.0,Audi,14.75,2967.0,245.0,3
1337,Kochi,54317,Petrol,Manual,First,5.0,,8.4,Honda,17.4,1497.0,117.3,3
1338,Mumbai,10200,Petrol,Manual,First,5.0,,4.99,Hyundai,19.1,1197.0,82.0,3
1339,Coimbatore,24337,Diesel,Manual,First,5.0,,8.18,Honda,26.0,1498.0,98.6,3
1340,Pune,79000,Petrol,Manual,First,5.0,,2.9,Honda,18.4,1198.0,86.8,7
1341,Jaipur,40500,Diesel,Manual,First,5.0,,7.1,Maruti,28.09,1248.0,88.5,4
1342,Pune,23000,Diesel,Manual,First,5.0,,7.05,Maruti,26.59,1248.0,74.0,3
1343,Pune,63050,Petrol,Automatic,First,5.0,,17.5,Honda,11.1,2354.0,158.8,4
1344,Mumbai,78000,Petrol,Automatic,Second,5.0,,3.41,Toyota,14.53,1794.0,138.1,11
1345,Pune,70000,Petrol,Manual,First,5.0,,1.3,Maruti,18.9,1590.0,74.0,14
1346,Coimbatore,66245,Petrol,Manual,First,5.0,,5.68,Honda,17.0,1497.0,118.0,7
1347,Bangalore,74112,Diesel,Manual,First,9.0,,4.1,Mahindra,12.05,2179.0,120.0,12
1348,Delhi,87670,Petrol,Manual,First,5.0,,4.0,Skoda,13.4,1798.0,157.8,8
1349,Hyderabad,10000,Diesel,Automatic,First,5.0,,30.0,BMW,18.88,1995.0,184.0,4
1350,Chennai,62493,Petrol,Manual,First,5.0,,1.8,Maruti,15.0,1586.0,104.68,12
1351,Kochi,44620,Petrol,Manual,First,5.0,,6.93,Maruti,20.73,1373.0,91.1,4
1352,Bangalore,66538,Diesel,Automatic,First,7.0,,70.0,Land,10.2,4367.0,308.0,7
1353,Ahmedabad,60000,Diesel,Manual,First,7.0,,7.9,Toyota,12.99,2494.0,100.0,6
1354,Kochi,20842,Petrol,Manual,First,5.0,,2.78,Hyundai,18.9,1086.0,62.0,8
1355,Chennai,110000,Diesel,Automatic,First,7.0,,14.4,Hyundai,13.01,2199.0,194.3,5
1356,Mumbai,45000,Petrol,Automatic,Second,5.0,,13.5,Mercedes-Benz,11.74,1796.0,186.0,8
1357,Mumbai,40000,CNG,Manual,Second,5.0,,3.15,Maruti,26.6,998.0,58.16,5
1358,Coimbatore,49008,Petrol,Manual,First,5.0,,2.88,Maruti,19.7,796.0,46.3,7
1359,Kolkata,31000,Petrol,Manual,First,5.0,,2.15,Maruti,24.7,796.0,47.3,3
1360,Pune,8000,Petrol,Manual,First,5.0,,3.75,Nissan,16.95,1498.0,97.7,6
1361,Mumbai,171,Petrol,Manual,First,5.0,,3.6,Maruti,24.7,796.0,47.3,0
1362,Kolkata,2100,Petrol,Manual,First,5.0,4.33 Lakh,3.6,Maruti,24.07,998.0,67.1,1
1363,Coimbatore,20667,Petrol,Automatic,First,5.0,8.63 Lakh,7.55,Hyundai,18.9,1197.0,81.86,1
1364,Kolkata,50000,Diesel,Manual,First,7.0,,4.7,Honda,24.2,1498.0,98.6,4
1365,Jaipur,100030,Diesel,Manual,Second,5.0,,1.6,Tata,18.8,1248.0,90.0,9
1366,Pune,75372,Diesel,Manual,First,5.0,,3.34,Chevrolet,16.52,1991.0,123.7,8
1367,Kochi,60475,Petrol,Automatic,First,5.0,,9.1,Honda,18.0,1497.0,117.3,3
1368,Kochi,18453,Petrol,Manual,First,5.0,6.68 Lakh,6.17,Hyundai,18.9,1197.0,81.86,0
1369,Hyderabad,96578,Diesel,Manual,First,5.0,14.07 Lakh,2.5,Hyundai,22.0,1582.0,126.2,11
1370,Kolkata,31001,Petrol,Manual,First,5.0,,3.0,Nissan,18.44,1198.0,75.0,3
1371,Jaipur,65900,Diesel,Manual,First,5.0,,5.75,Hyundai,22.32,1582.0,126.32,7
1372,Bangalore,26246,Petrol,Manual,First,5.0,,10.75,Hyundai,15.29,1591.0,121.3,2
1373,Jaipur,62700,Petrol,Manual,Second,5.0,,2.85,Maruti,20.51,998.0,67.04,6
1374,Chennai,90000,Petrol,Automatic,First,5.0,,6.5,Honda,10.2,2354.0,180.0,11
1375,Bangalore,36000,Petrol,Automatic,First,5.0,,9.45,Honda,16.8,1497.0,118.0,3
1376,Delhi,46000,Diesel,Manual,First,5.0,,6.75,Maruti,27.39,1248.0,74.0,3
1377,Coimbatore,73003,Diesel,Manual,First,5.0,,7.75,Honda,26.0,1498.0,98.6,2
1378,Kochi,46566,Diesel,Manual,First,5.0,,4.4,Hyundai,22.54,1396.0,88.76,5
1379,Jaipur,41493,Diesel,Automatic,First,5.0,,42.0,Mercedes-Benz,13.0,2987.0,265.0,4
1380,Kochi,103788,Diesel,Manual,First,5.0,,5.67,Nissan,19.01,1461.0,108.5,5
1381,Bangalore,45000,Diesel,Automatic,First,5.0,15.05 Lakh,11.5,Renault,19.6,1461.0,108.45,3
1382,Pune,120000,Petrol,Manual,First,5.0,,1.69,Maruti,18.9,998.0,67.1,10
1383,Jaipur,97359,Diesel,Manual,Second,5.0,,1.8,Hyundai,17.1,1493.0,110.0,10
1384,Mumbai,62000,Petrol,Manual,First,5.0,,3.2,Maruti,18.5,1197.0,85.8,3
1385,Pune,115000,Petrol,Manual,Second,5.0,,1.5,Honda,17.0,1497.0,98.6,15
1386,Kochi,18373,Diesel,Automatic,First,5.0,,45.86,BMW,22.48,1995.0,187.74,0
1387,Hyderabad,60453,Petrol,Manual,First,5.0,,5.1,Volkswagen,16.47,1198.0,74.0,3
1388,Pune,37000,Diesel,Manual,First,5.0,,4.85,Maruti,17.8,1248.0,74.0,6
1389,Mumbai,69009,Petrol,Manual,Second,5.0,,2.4,Ford,15.6,1196.0,70.0,9
1390,Hyderabad,30000,Diesel,Automatic,First,5.0,,22.0,BMW,18.88,1995.0,184.0,6
1391,Delhi,70707,Diesel,Manual,First,5.0,,4.28,Hyundai,22.32,1582.0,126.32,7
1392,Coimbatore,64677,Diesel,Manual,First,5.0,,5.67,Renault,20.45,1461.0,83.8,4
1393,Bangalore,3000,Petrol,Automatic,First,5.0,7.98 Lakh,6.2,Hyundai,18.9,1197.0,81.86,1
1394,Bangalore,49000,Diesel,Automatic,Second,5.0,,14.49,BMW,17.05,1995.0,184.0,6
1395,Pune,71000,Diesel,Manual,First,5.0,,3.0,Maruti,21.1,1248.0,73.9,9
1396,Jaipur,52000,Petrol,Manual,Second,5.0,,2.25,Hyundai,19.81,1086.0,68.05,9
1397,Kochi,35659,Diesel,Automatic,First,7.0,,43.78,BMW,15.97,2993.0,258.0,3
1398,Kochi,5377,Petrol,Manual,First,5.0,,11.45,Honda,16.8,1497.0,116.3,0
1399,Delhi,65000,Diesel,Automatic,First,7.0,,10.5,Mahindra,11.18,2696.0,184.0,5
1400,Coimbatore,92708,Diesel,Manual,First,5.0,,7.48,Ford,22.7,1498.0,89.84,4
1401,Coimbatore,48105,Petrol,Manual,First,5.0,,3.1,Maruti,19.7,796.0,46.3,9
1402,Mumbai,46759,Petrol,Manual,First,5.0,,2.55,Volkswagen,16.47,1198.0,74.0,8
1403,Jaipur,62000,Diesel,Manual,First,5.0,,3.5,Volkswagen,22.07,1199.0,73.9,6
1404,Kolkata,35175,Diesel,Manual,First,5.0,,2.59,Volkswagen,22.07,1199.0,73.9,7
1405,Kolkata,70000,Diesel,Manual,First,7.0,,5.45,Maruti,20.77,1248.0,88.8,6
1406,Kolkata,30000,Diesel,Manual,First,5.0,,6.0,Ford,22.77,1498.0,98.59,2
1407,Kolkata,66618,Diesel,Automatic,First,7.0,24.82 Lakh,15.49,Toyota,11.36,2755.0,171.5,3
1408,Mumbai,69300,Petrol,Automatic,Second,5.0,,12.5,BMW,10.8,2497.0,150.0,9
1409,Kolkata,148000,Diesel,Manual,First,5.0,,4.75,Maruti,23.4,1248.0,74.0,2
1410,Mumbai,22000,Petrol,Manual,First,5.0,,7.85,Ford,18.88,999.0,123.24,2
1411,Ahmedabad,75000,Diesel,Manual,First,5.0,,6.0,Hyundai,16.8,1493.0,110.0,6
1412,Mumbai,43706,Petrol,Manual,First,5.0,7.63 Lakh,4.0,Tata,17.57,1193.0,88.7,3
1413,Mumbai,42000,Diesel,Automatic,First,5.0,,28.75,Audi,14.4,2967.0,241.4,8
1414,Pune,65000,Diesel,Manual,First,5.0,,2.5,Tata,22.3,1248.0,74.0,7
1415,Delhi,76128,Diesel,Manual,First,5.0,,5.5,Maruti,26.59,1248.0,74.0,4
1416,Kolkata,39852,Petrol,Manual,First,5.0,,1.59,Fiat,16.0,1368.0,90.0,9
1417,Mumbai,18673,Petrol,Manual,First,5.0,,6.22,Hyundai,18.6,1197.0,81.83,2
1418,Kolkata,11583,Petrol,Manual,First,5.0,,2.75,Hyundai,21.1,814.0,55.2,3
1419,Chennai,82000,Petrol,Manual,Second,5.0,,1.35,Hyundai,18.9,1086.0,78.9,12
1420,Pune,50000,Diesel,Automatic,First,5.0,,25.0,Mercedes-Benz,17.9,2143.0,136.0,2
1421,Delhi,77000,Petrol,Manual,First,5.0,,2.8,Maruti,23.1,998.0,67.04,5
1422,Mumbai,54890,Petrol,Manual,Second,5.0,,2.45,Chevrolet,17.8,1199.0,76.8,5
1423,Pune,21000,Petrol,Automatic,First,5.0,,6.35,Honda,19.0,1199.0,88.7,3
1424,Mumbai,58557,Diesel,Automatic,Third,5.0,,8.0,BMW,16.07,1995.0,181.0,10
1425,Bangalore,70000,Diesel,Manual,First,5.0,,8.25,Renault,19.01,1461.0,108.45,5
1426,Mumbai,16000,Petrol,Automatic,First,5.0,,5.95,Ford,17.01,1499.0,110.4,2
1427,Kochi,8899,Diesel,Manual,First,7.0,22.86 Lakh,19.92,Toyota,13.68,2393.0,147.8,1
1428,Kochi,83629,Diesel,Manual,First,5.0,,3.15,Chevrolet,25.44,936.0,56.3,3
1429,Chennai,35059,Petrol,Automatic,First,4.0,,5.75,Volkswagen,17.21,1798.0,189.0,5
1430,Kochi,30552,Diesel,Automatic,First,7.0,,32.44,Ford,10.91,3198.0,197.2,1
1431,Kochi,44875,Diesel,Automatic,Second,5.0,,8.01,Hyundai,22.32,1582.0,126.32,3
1432,Coimbatore,25095,Petrol,Manual,First,5.0,,6.48,Ford,18.16,1196.0,86.8,2
1433,Jaipur,59000,Petrol,Manual,First,4.0,,0.75,Maruti,16.1,796.0,37.0,12
1434,Kolkata,36000,Diesel,Manual,First,5.0,,5.0,Honda,26.0,1498.0,98.6,5
1435,Mumbai,37000,Diesel,Manual,First,7.0,,7.75,Mahindra,16.0,2179.0,140.0,7
1436,Chennai,90000,Diesel,Manual,First,5.0,,2.6,Ford,20.0,1399.0,68.0,9
1437,Pune,17000,Petrol,Manual,First,5.0,11.06 Lakh,9.2,Ford,17.0,1497.0,121.36,1
1438,Mumbai,42575,Petrol,Manual,First,5.0,,5.05,Hyundai,18.6,1197.0,81.83,4
1439,Hyderabad,131000,Diesel,Manual,First,7.0,,9.6,Toyota,12.99,2494.0,100.0,7
1440,Mumbai,74000,Diesel,Manual,First,5.0,,5.5,Renault,20.46,1461.0,83.8,6
1441,Mumbai,47234,Diesel,Manual,First,8.0,,9.35,Toyota,12.99,2494.0,100.6,6
1442,Delhi,231673,Petrol,Manual,First,5.0,,2.6,Honda,17.0,1497.0,118.0,10
1443,Hyderabad,10000,Petrol,Manual,First,5.0,4.53 Lakh,3.5,Maruti,24.07,998.0,67.1,3
1444,Kochi,49389,Petrol,Manual,First,5.0,,4.26,Nissan,19.49,1198.0,67.04,3
1445,Chennai,12000,Petrol,Automatic,Second,5.0,,4.25,Maruti,23.1,998.0,67.04,3
1446,Hyderabad,65000,Petrol,Manual,Second,5.0,,11.75,Mercedes-Benz,11.7,1796.0,178.0,9
1447,Chennai,177000,Diesel,Manual,First,5.0,,3.5,Ford,23.5,1498.0,88.7,6
1448,Jaipur,89000,Petrol,Manual,First,5.0,,7.5,Hyundai,17.01,1591.0,121.3,4
1449,Chennai,72000,Petrol,Automatic,Third,5.0,,3.25,Hyundai,15.0,1396.0,100.0,10
1450,Chennai,49000,Petrol,Manual,First,5.0,,4.9,Maruti,17.5,1298.0,85.8,7
1451,Hyderabad,51355,Diesel,Automatic,First,5.0,,27.0,Mercedes-Benz,14.84,2143.0,170.0,5
1452,Kochi,13460,Petrol,Manual,First,5.0,,8.91,Hyundai,18.6,1197.0,81.86,2
1453,Kochi,35642,Petrol,Automatic,First,5.0,,6.69,Hyundai,17.01,1591.0,121.4,5
